iter	Passed	Remaining
0	4	470
1	8	431
2	13	426
3	16	401
4	20	398
5	25	393
6	29	388
7	33	382
8	37	378
9	41	375
10	45	370
11	49	366
12	53	360
13	57	355
14	62	351
15	66	348
16	71	347
17	76	346
18	81	348
19	85	342
20	90	339
21	94	334
22	99	332
23	103	326
24	107	322
25	112	319
26	115	313
27	120	309
28	124	304
29	128	300
30	133	296
31	137	291
32	141	286
33	145	281
34	149	277
35	153	272
36	157	268
37	162	264
38	166	259
39	170	255
40	174	251
41	176	243
42	180	238
43	184	234
44	188	230
45	192	226
46	198	223
47	202	219
48	206	215
49	211	211
50	215	206
51	219	202
52	223	197
53	227	193
54	229	188
55	233	183
56	237	179
57	242	175
58	246	171
59	250	167
60	255	163
61	259	158
62	263	154
63	268	150
64	272	146
65	276	142
66	281	138
67	284	134
68	289	129
69	293	125
70	297	121
71	301	117
72	305	113
73	310	109
74	315	105
75	319	100
76	324	96
77	328	92
78	333	88
79	337	84
80	342	80
81	346	75
82	349	71
83	354	67
84	358	63
85	363	59
86	367	54
87	371	50
88	375	46
89	380	42
90	384	38
91	388	33
92	392	29
93	396	25
94	401	21
95	405	16
96	408	12
97	412	8
98	416	4
99	420	0
